                Time     Total_Variation            L2_Error
          3.95000000          2.01988461          0.09313431
          3.95625000          2.01991669          0.09164396
          3.96250000          2.01995200          0.09317895
          3.96875000          2.01998409          0.09169067
          3.97500000          2.02001808          0.09322357
          3.98125000          2.02004984          0.09173736
          3.98750000          2.02008246          0.09326818
          3.99375000          2.02011380          0.09178404
          4.00000000          2.02014515          0.09331278
          4.00625000          2.02017618          0.09183070
          4.01250000          2.02020651          0.09335738
          4.01875000          2.02023751          0.09187736
          4.02500000          2.02026725          0.09340197
          4.03125000          2.02029867          0.09192401
          4.03750000          2.02032832          0.09344658
          4.04375000          2.02036065          0.09197067
          4.05000000          2.02039074          0.09349119
          4.05625000          2.02042439          0.09201734
          4.06250000          2.02045528          0.09353582
          4.06875000          2.02049049          0.09206401
          4.07500000          2.02052238          0.09358047
          4.08125000          2.02055909          0.09211070
          4.08750000          2.02059203          0.09362513
          4.09375000          2.02062996          0.09215741
          4.10000000          2.02066363          0.09366981
          4.10625000          2.02070243          0.09220413
          4.11250000          2.02073649          0.09371452
          4.11875000          2.02077581          0.09225086
          4.12500000          2.02080995          0.09375924
          4.13125000          2.02084949          0.09229761
          4.13750000          2.02088416          0.09380398
          4.14375000          2.02092338          0.09234438
          4.15000000          2.02095829          0.09384874
          4.15625000          2.02099704          0.09239116
          4.16250000          2.02103204          0.09389352
          4.16875000          2.02107027          0.09243795
          4.17500000          2.02110526          0.09393832
          4.18125000          2.02114295          0.09248477
          4.18750000          2.02117793          0.09398315
          4.19375000          2.02121511          0.09253160
          4.20000000          2.02125013          0.09402799
          4.20625000          2.02128697          0.09257844
          4.21250000          2.02132227          0.09407286
          4.21875000          2.02135911          0.09262531
          4.22500000          2.02139512          0.09411775
          4.23125000          2.02143249          0.09267220
          4.23750000          2.02146978          0.09416267
          4.24375000          2.02150824          0.09271910
          4.25000000          2.02154723          0.09420761
          4.25625000          2.02158700          0.09276603
          4.26250000          2.02162758          0.09425258
          4.26875000          2.02166811          0.09281298
          4.27500000          2.02170923          0.09429756
          4.28125000          2.02174898          0.09285993
          4.28750000          2.02178853          0.09434257
          4.29375000          2.02182484          0.09290690
          4.30000000          2.02185949          0.09438759
          4.30625000          2.02188814          0.09295389
          4.31250000          2.02191235          0.09443263
          4.31875000          2.02192575          0.09300089
          4.32500000          2.02192868          0.09447771
          4.33125000          2.02191098          0.09304794
          4.33750000          2.02186926          0.09452287
          4.34375000          2.02178608          0.09309510
          4.35000000          2.02164933          0.09456818
          4.35625000          2.02142753          0.09314248
          4.36250000          2.02109074          0.09461383
          4.36875000          2.02058136          0.09319035
          4.37500000          2.01983589          0.09466018
          4.38125000          2.01875104          0.09323925
          4.38750000          2.01720504          0.09470798
          4.39375000          2.01502175          0.09329021
          4.40000000          2.01199089          0.09475859
          4.40625000          2.00783561          0.09334500
          4.41250000          2.00223725          0.09481413
          4.41875000          1.99515050          0.09340603
          4.42500000          1.99514972          0.09487708
          4.43125000          1.99514607          0.09348103
          4.43750000          1.99514523          0.09496931
          4.44375000          1.99514167          0.09360651
          4.45000000          1.99514077          0.09513606
          4.45625000          1.99513728          0.09383984
          4.46250000          1.99513633          0.09545148
          4.46875000          1.99513291          0.09428582
          4.47500000          1.99513190          0.09603399
          4.48125000          1.99512855          0.09500381
          4.48750000          1.99512748          0.09693506
          4.49375000          1.99512419          0.09652492
          4.50000000          1.99512307          0.09860480
          4.50625000          1.99511984          0.09574101
          4.51250000          1.99511867          0.09804710
          4.51875000          1.99511549          0.09502361
          4.52500000          1.99511426          0.09753219
          4.53125000          1.99511114          0.09461315
          4.53750000          1.99510986          0.09725647
          4.54375000          1.99510691          0.09442305
          4.55000000          1.99510550          0.09713988
          4.55625000          1.99510273          0.09435438
          4.56250000          1.99510120          0.09710615
          4.56875000          1.99509859          0.09434498
          4.57500000          1.99517141          0.09711162
