                Time     Total_Variation            L2_Error            L1_Error
          0.76562500          3.75333409          0.09076018          0.02783474
          0.76875000          3.77442348          0.08435452          0.02690038
          0.77187500          3.75846684          0.09088183          0.02789379
          0.77500000          3.77728548          0.08448674          0.02699680
          0.77812500          3.76371773          0.09100270          0.02797582
          0.78125000          3.77896411          0.08461808          0.02708948
          0.78437500          3.76803520          0.09112281          0.02805696
          0.78750000          3.77964639          0.08474854          0.02719531
          0.79062500          3.77563437          0.09124216          0.02813930
          0.79375000          3.77895175          0.08487815          0.02729537
          0.79687500          3.78188246          0.09136077          0.02822863
          0.80000000          3.77696783          0.08500692          0.02738891
          0.80312500          3.78682458          0.09147865          0.02831207
          0.80625000          3.77888646          0.08513486          0.02747588
          0.80937500          3.79053681          0.09159580          0.02840039
          0.81250000          3.78337777          0.08526197          0.02755710
          0.81562500          3.79347121          0.09171224          0.02849326
          0.81875000          3.78704670          0.08538828          0.02763265
          0.82187500          3.79517417          0.09182798          0.02858120
          0.82500000          3.79019371          0.08551379          0.02770875
          0.82812500          3.79562052          0.09194302          0.02866271
          0.83125000          3.79210714          0.08563852          0.02778400
          0.83437500          3.79474341          0.09205738          0.02875398
          0.83750000          3.79524914          0.08576247          0.02786104
          0.84062500          3.79265845          0.09217106          0.02886745
          0.84375000          3.79870701          0.08588566          0.02793779
          0.84687500          3.79125943          0.09228407          0.02897659
          0.85000000          3.80219648          0.08600809          0.02801171
          0.85312500          3.79139664          0.09239643          0.02907973
          0.85625000          3.80849523          0.08612978          0.02807980
          0.85937500          3.79106988          0.09250813          0.02917693
          0.86250000          3.81352265          0.08625074          0.02814206
          0.86562500          3.79234369          0.09261920          0.02927777
          0.86875000          3.81735413          0.08637097          0.02819851
          0.87187500          3.79772299          0.09272962          0.02937578
          0.87500000          3.82025630          0.08649048          0.02825969
          0.87812500          3.80258628          0.09283943          0.02946893
          0.88125000          3.82241486          0.08660930          0.02833395
          0.88437500          3.80625313          0.09294862          0.02956517
          0.88750000          3.82475030          0.08672741          0.02840234
          0.89062500          3.81198657          0.09305719          0.02966170
          0.89375000          3.82776208          0.08684484          0.02847260
          0.89687500          3.81677193          0.09316517          0.02975270
          0.90000000          3.83095452          0.08696159          0.02854820
          0.90312500          3.82068763          0.09327254          0.02983876
          0.90625000          3.83340143          0.08707767          0.02864329
          0.90937500          3.82350575          0.09337934          0.02992021
          0.91250000          3.83510149          0.08719308          0.02874529
          0.91562500          3.82522832          0.09348555          0.02999602
          0.91875000          3.83570105          0.08730785          0.02884416
          0.92187500          3.82644383          0.09359119          0.03006615
          0.92500000          3.83522402          0.08742197          0.02893769
          0.92812500          3.82834531          0.09369626          0.03013065
          0.93125000          3.83551100          0.08753545          0.02902833
          0.93437500          3.82939697          0.09380077          0.03019034
          0.93750000          3.83737508          0.08764830          0.02912506
          0.94062500          3.83428085          0.09390473          0.03024674
          0.94375000          3.84107428          0.08776053          0.02921668
          0.94687500          3.84053689          0.09400814          0.03030308
          0.95000000          3.84408054          0.08787215          0.02930309
          0.95312500          3.84575212          0.09411101          0.03037027
          0.95625000          3.84602223          0.08798316          0.02938423
          0.95937500          3.84988753          0.09421334          0.03044113
          0.96250000          3.84808318          0.08809357          0.02946069
          0.96562500          3.85332952          0.09431515          0.03050766
          0.96875000          3.85060039          0.08820339          0.02953210
          0.97187500          3.85574848          0.09441644          0.03057028
          0.97500000          3.85248521          0.08831262          0.02959833
          0.97812500          3.85711938          0.09451721          0.03062781
          0.98125000          3.85359979          0.08842128          0.02966258
          0.98437500          3.85744130          0.09461747          0.03071567
          0.98750000          3.85493779          0.08852936          0.02972546
          0.99062500          3.85684327          0.09471723          0.03082333
          0.99375000          3.85650851          0.08863688          0.02978946
          0.99687500          3.85683034          0.09481649          0.03092666
          1.00000000          3.85735126          0.08874384          0.02985125
          1.00312500          3.86230727          0.09491525          0.03102507
          1.00625000          3.85723510          0.08885024          0.02990903
          1.00937500          3.86851983          0.09501353          0.03111845
          1.01250000          3.85616259          0.08895610          0.02996465
          1.01562500          3.87402900          0.09511132          0.03120678
          1.01875000          3.85417958          0.08906142          0.03002957
          1.02187500          3.87864838          0.09520864          0.03129544
          1.02500000          3.85313280          0.08916621          0.03009049
          1.02812500          3.88257409          0.09530549          0.03138168
          1.03125000          3.85343099          0.08927047          0.03014682
          1.03437500          3.88613308          0.09540187          0.03146388
          1.03750000          3.85570704          0.08937420          0.03020669
          1.04062500          3.89047017          0.09549778          0.03154891
          1.04375000          3.85790556          0.08947742          0.03026513
          1.04687500          3.89386996          0.09559324          0.03162986
          1.05000000          3.86046370          0.08958013          0.03031909
          1.05312500          3.89650266          0.09568825          0.03170640
          1.05625000          3.86493195          0.08968234          0.03036869
          1.05937500          3.89827189          0.09578281          0.03177896
          1.06250000          3.86951946          0.08978404          0.03043236
          1.06562500          3.89911688          0.09587693          0.03184678
          1.06875000          3.87360135          0.08988525          0.03050225
          1.07187500          3.89903736          0.09597061          0.03190987
