                Time     Total_Variation            L2_Error
          2.53125000          3.92289763          0.13522610
          2.53750000          3.93271220          0.12780526
          2.54375000          3.92536636          0.13491180
          2.55000000          3.93434907          0.12755275
          2.55625000          3.93017848          0.13475524
          2.56250000          3.93682846          0.12747406
          2.56875000          3.93404041          0.13476237
          2.57500000          3.94093725          0.12755911
          2.58125000          3.93833950          0.13490786
          2.58750000          3.94106493          0.12776565
          2.59375000          3.94212435          0.13513968
          2.60000000          3.95193744          0.12802992
          2.60625000          3.94806592          0.13539407
          2.61250000          3.93625266          0.12828652
          2.61875000          3.95577819          0.13561625
          2.62500000          3.96101858          0.12848991
          2.63125000          3.95700976          0.13577810
          2.63750000          3.96299328          0.12862796
          2.64375000          3.95744334          0.13588436
          2.65000000          3.96418733          0.12872040
          2.65625000          3.95765938          0.13596356
          2.66250000          3.96638487          0.12880232
          2.66875000          3.95690456          0.13604811
          2.67500000          3.96954797          0.12890171
          2.68125000          3.95824185          0.13615472
          2.68750000          3.97291911          0.12902377
          2.69375000          3.96213264          0.13627678
          2.70000000          3.97799771          0.12915175
          2.70625000          3.95960128          0.13639306
          2.71250000          3.97697196          0.12926263
          2.71875000          3.95711270          0.13648588
          2.72500000          3.96505162          0.12934603
          2.73125000          3.95532846          0.13655533
          2.73750000          3.96784890          0.12941253
          2.74375000          3.95690474          0.13661937
          2.75000000          3.97000449          0.12948577
          2.75625000          3.95771828          0.13670051
          2.76250000          3.97167367          0.12958526
          2.76875000          3.95723130          0.13681007
          2.77500000          3.97735228          0.12971367
          2.78125000          3.96238612          0.13694209
          2.78750000          3.97241261          0.12985778
          2.79375000          3.96546325          0.13708048
          2.80000000          3.98999817          0.13000041
          2.80625000          3.97320803          0.13721171
          2.81250000          3.99049633          0.13013224
          2.81875000          3.97687145          0.13733226
          2.82500000          3.99045828          0.13025438
          2.83125000          3.98080817          0.13744614
          2.83750000          3.99128530          0.13037208
          2.84375000          3.98570946          0.13755745
          2.85000000          3.99004826          0.13048757
          2.85625000          3.98901806          0.13766608
          2.86250000          3.99154358          0.13059903
          2.86875000          3.99437554          0.13776986
          2.87500000          3.98584432          0.13070501
          2.88125000          3.98181376          0.13786918
          2.88750000          3.97571890          0.13080820
          2.89375000          3.98358943          0.13796839
          2.90000000          3.97521343          0.13091414
          2.90625000          3.98644359          0.13807256
          2.91250000          3.97591340          0.13102680
          2.91875000          3.99313588          0.13818338
          2.92500000          3.98440308          0.13114563
          2.93125000          4.00241629          0.13829847
          2.93750000          3.98962686          0.13126687
          2.94375000          4.00900544          0.13841392
          2.95000000          3.99106187          0.13138684
          2.95625000          4.01063396          0.13852718
          2.96250000          3.99381384          0.13150398
          2.96875000          4.01298293          0.13863764
          2.97500000          3.99722411          0.13161826
          2.98125000          4.01206898          0.13874556
          2.98750000          3.99904143          0.13172999
          2.99375000          4.01715630          0.13885121
          3.00000000          4.00362969          0.13183955
          3.00625000          4.01622444          0.13895517
          3.01250000          3.99962630          0.13194786
          3.01875000          4.01122311          0.13905863
          3.02500000          3.99907181          0.13205643
          3.03125000          4.01014418          0.13916302
          3.03750000          4.00341286          0.13216648
          3.04375000          4.01614272          0.13926906
          3.05000000          4.01080413          0.13227819
          3.05625000          4.02039043          0.13937639
          3.06250000          4.01381265          0.13239075
          3.06875000          4.02029679          0.13948399
          3.07500000          4.01269190          0.13250306
          3.08125000          4.01964427          0.13959095
          3.08750000          4.01494770          0.13261434
          3.09375000          4.02218687          0.13969676
          3.10000000          4.01792639          0.13272432
          3.10625000          4.02525507          0.13980135
          3.11250000          4.02027004          0.13283308
          3.11875000          4.02953905          0.13990492
          3.12500000          4.02162178          0.13294095
          3.13125000          4.03091391          0.14000789
          3.13750000          4.02185053          0.13304844
          3.14375000          4.03168911          0.14011076
          3.15000000          4.02298014          0.13315604
