                Time     Total_Variation            L2_Error
          2.85000000          2.01647553          0.06214660
          2.85625000          2.01651296          0.05913662
          2.86250000          2.01655186          0.06215337
          2.86875000          2.01658934          0.05914564
          2.87500000          2.01662823          0.06216020
          2.88125000          2.01666576          0.05915463
          2.88750000          2.01670462          0.06216709
          2.89375000          2.01674220          0.05916359
          2.90000000          2.01678104          0.06217404
          2.90625000          2.01681867          0.05917254
          2.91250000          2.01685749          0.06218104
          2.91875000          2.01689516          0.05918148
          2.92500000          2.01693397          0.06218811
          2.93125000          2.01697169          0.05919041
          2.93750000          2.01701048          0.06219524
          2.94375000          2.01704823          0.05919934
          2.95000000          2.01708700          0.06220244
          2.95625000          2.01712481          0.05920828
          2.96250000          2.01716356          0.06220970
          2.96875000          2.01720140          0.05921722
          2.97500000          2.01724014          0.06221702
          2.98125000          2.01727802          0.05922617
          2.98750000          2.01731674          0.06222441
          2.99375000          2.01735467          0.05923513
          3.00000000          2.01739337          0.06223187
          3.00625000          2.01743134          0.05924410
          3.01250000          2.01747002          0.06223940
          3.01875000          2.01750803          0.05925309
          3.02500000          2.01754669          0.06224699
          3.03125000          2.01758474          0.05926209
          3.03750000          2.01762339          0.06225466
          3.04375000          2.01766147          0.05927112
          3.05000000          2.01770010          0.06226241
          3.05625000          2.01773822          0.05928018
          3.06250000          2.01777684          0.06227023
          3.06875000          2.01781500          0.05928926
          3.07500000          2.01785360          0.06227813
          3.08125000          2.01789179          0.05929838
          3.08750000          2.01793038          0.06228611
          3.09375000          2.01796861          0.05930753
          3.10000000          2.01800718          0.06229418
          3.10625000          2.01804544          0.05931672
          3.11250000          2.01808400          0.06230233
          3.11875000          2.01812229          0.05932595
          3.12500000          2.01816084          0.06231057
          3.13125000          2.01819916          0.05933523
          3.13750000          2.01823770          0.06231889
          3.14375000          2.01827605          0.05934456
          3.15000000          2.01831457          0.06232730
          3.15625000          2.01835295          0.05935394
          3.16250000          2.01839147          0.06233581
          3.16875000          2.01842988          0.05936337
          3.17500000          2.01846841          0.06234440
          3.18125000          2.01850685          0.05937287
          3.18750000          2.01854540          0.06235308
          3.19375000          2.01858390          0.05938243
          3.20000000          2.01862250          0.06236186
          3.20625000          2.01866109          0.05939206
          3.21250000          2.01869978          0.06237073
          3.21875000          2.01873854          0.05940175
          3.22500000          2.01877741          0.06237969
          3.23125000          2.01881645          0.05941151
          3.23750000          2.01885570          0.06238875
          3.24375000          2.01889536          0.05942135
          3.25000000          2.01893528          0.06239790
          3.25625000          2.01897518          0.05943126
          3.26250000          2.01901450          0.06240714
          3.26875000          2.01905304          0.05944124
          3.27500000          2.01909050          0.06241647
          3.28125000          2.01912708          0.05945129
          3.28750000          2.01916270          0.06242589
          3.29375000          2.01919777          0.05946143
          3.30000000          2.01923228          0.06243541
          3.30625000          2.01926672          0.05947165
          3.31250000          2.01930100          0.06244503
          3.31875000          2.01933562          0.05948197
          3.32500000          2.01937041          0.06245476
          3.33125000          2.01940556          0.05949238
          3.33750000          2.01944122          0.06246460
          3.34375000          2.01947180          0.05950290
          3.35000000          2.01951356          0.06247455
          3.35625000          2.01957048          0.05951353
          3.36250000          2.01963248          0.06248462
          3.36875000          2.01969281          0.05952424
          3.37500000          2.01974807          0.06249476
          3.38125000          2.01979767          0.05953503
          3.38750000          2.01984306          0.06250497
          3.39375000          2.01988688          0.05954586
          3.40000000          2.01992757          0.06251524
          3.40625000          2.01996513          0.05955675
          3.41250000          2.01999647          0.06252556
          3.41875000          2.02001440          0.05956765
          3.42500000          2.02000567          0.06253587
          3.43125000          2.02000391          0.05957843
          3.43750000          2.01999912          0.06254582
          3.44375000          2.01999379          0.05958828
          3.45000000          2.01999188          0.06255424
          3.45625000          2.01998480          0.05959555
          3.46250000          2.01998419          0.06255316
          3.46875000          2.01997955          0.05957239
          3.47500000          2.01997821          0.06257857
          3.48125000          2.01997516          0.05983047
          3.48750000          2.01997311          0.06347941
          3.49375000          2.01997080          0.06171887
          3.50000000          2.01996829          0.06605400
          3.50625000          2.01996657          0.05987547
          3.51250000          2.01996374          0.06521986
          3.51875000          2.01996251          0.05948818
          3.52500000          2.01995946          0.06524679
          3.53125000          2.01995861          0.05957078
          3.53750000          2.01995539          0.06531555
          3.54375000          2.01995478          0.05963678
          3.55000000          2.01995146          0.06534550
          3.55625000          2.01995103          0.05967198
          3.56250000          2.01994765          0.06536366
          3.56875000          2.01994736          0.05969914
          3.57500000          2.02107500          0.06538446
          3.58125000          2.02135505          0.05972315
          3.58750000          2.02163174          0.06539408
          3.59375000          2.02153121          0.05974173
          3.60000000          2.02163738          0.06540583
          3.60625000          2.02160582          0.05975852
          3.61250000          2.02161034          0.06541683
          3.61875000          2.02156553          0.05977304
          3.62500000          2.02151070          0.06542665
          3.63125000          2.02147446          0.05978528
          3.63750000          2.02142268          0.06543601
          3.64375000          2.02142650          0.05979460
          3.65000000          2.02137722          0.06544570
          3.65625000          2.02140902          0.05980265
          3.66250000          2.02137908          0.06545596
          3.66875000          2.02141651          0.05981039
          3.67500000          2.02140982          0.06546678
          3.68125000          2.02144784          0.05981819
          3.68750000          2.02146242          0.06547807
          3.69375000          2.02149692          0.05982625
          3.70000000          2.02152354          0.06548971
          3.70625000          2.02155356          0.05983462
          3.71250000          2.02158600          0.06550157
          3.71875000          2.02160461          0.05984330
          3.72500000          2.02163608          0.06551361
          3.73125000          2.02164596          0.05985231
          3.73750000          2.02167649          0.06552583
          3.74375000          2.02168069          0.05986169
          3.75000000          2.02171251          0.06553822
          3.75625000          2.02171386          0.05987147
          3.76250000          2.02174867          0.06555078
          3.76875000          2.02175813          0.05988167
          3.77500000          2.02179190          0.06556350
          3.78125000          2.02180902          0.05989229
          3.78750000          2.02184121          0.06557636
          3.79375000          2.02186389          0.05990331
          3.80000000          2.02189465          0.06558934
          3.80625000          2.02192021          0.05991469
