                Time     Total_Variation            L2_Error            L1_Error
          7.55000000          1.99999372          0.16127406          0.06070803
          7.57500000          1.99999371          0.12807402          0.05104389
          7.60000000          1.99999366          0.16131619          0.06050522
          7.62500000          1.99999364          0.12816111          0.05096379
          7.65000000          1.99999360          0.16132900          0.06046358
          7.67500000          1.99999358          0.12820348          0.05095191
          7.70000000          1.99999353          0.16132926          0.06045250
          7.72500000          1.99999352          0.12822248          0.05095019
          7.75000000          1.99999347          0.16132580          0.06044770
          7.77500000          1.99999346          0.12823160          0.05094981
          7.80000000          1.99999341          0.16132197          0.06044467
          7.82500000          1.99999339          0.12823571          0.05094923
          7.85000000          1.99999335          0.16131816          0.06044225
          7.87500000          1.99999333          0.12823754          0.05094853
          7.90000000          1.99999328          0.16131472          0.06044025
          7.92500000          1.99999327          0.12823836          0.05094786
          7.95000000          1.99999322          0.16131179          0.06043861
          7.97500000          1.99999321          0.12823870          0.05094726
          8.00000000          1.99999314          0.16130935          0.06043729
